time/iterations,train/adaptive_beta,time/total_timesteps,time/fps,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/loss,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,rollout/ep_rew_mean,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,0.5,64,0,477,,,,,,,,,,,,,,
2,0.5,128,0,952,0.0008271336555480957,0.008775144,0.0171875,723.9107666015625,17.0,-0.040817347913980485,10,0.0003,-10.355391216278075,0.2,-80.138998,1504.6678588867187,,
3,0.5,192,0,1476,-1.1920928955078125e-07,0.0089736935,0.021875,1056.9141845703125,19.5,-0.040296001359820366,20,0.0003,-10.346981048583984,0.2,-98.01493049999999,2142.7298583984375,,
4,0.5,256,0,1873,5.960464477539063e-08,0.009701499,0.0171875,856.8851318359375,28.25,-0.04346215948462486,30,0.0003,-10.338719081878661,0.2,-157.036147,1738.7186401367187,,
5,0.5,320,0,2361,1.1920928955078125e-07,0.008791318,0.0265625,524.3536376953125,44.166666666666664,-0.03721475563943386,40,0.0003,-10.33558464050293,0.2,-252.61037716666667,1069.4129638671875,,
6,0.5,384,0,2833,0.0,0.0068506813,0.0109375,758.6131591796875,44.166666666666664,-0.03564730733633041,50,0.0003,-10.328399181365967,0.2,-252.61037716666667,1539.2163818359375,,
7,0.5,448,0,3338,-1.1920928955078125e-07,0.008605803,0.034375,890.9860229492188,44.166666666666664,-0.04021642245352268,60,0.0003,-10.325566482543945,0.2,-252.61037716666667,1803.6217895507812,,
,0.5,512,,,1.1920928955078125e-07,0.004366393,0.003125,960.7277221679688,,-0.025739349797368048,70,0.0003,-10.322179794311523,0.2,,1942.889208984375,-246.32264259999997,134.0
8,0.5,512,0,6535,,,,,48.75,,,,,,-273.03467262500004,,,
9,0.5,576,0,6996,-1.1920928955078125e-07,0.008587489,0.0140625,611.67822265625,45.0,-0.039387839846313,80,0.0003,-10.320841979980468,0.2,-249.55330181818184,1240.9162963867188,,
10,0.5,640,0,7429,-1.1920928955078125e-07,0.009217796,0.0296875,633.792724609375,44.92307692307692,-0.03693355275318026,90,0.0003,-10.321279811859132,0.2,-252.03389892307695,1284.3755493164062,,
11,0.5,704,0,7908,1.1920928955078125e-07,0.008917995,0.0140625,466.64752197265625,44.142857142857146,-0.04362080693244934,100,0.0003,-10.317298889160156,0.2,-245.39562478571432,949.63134765625,,
12,0.5,768,0,8311,0.0,0.005298556,0.0046875,1076.5880126953125,41.53333333333333,-0.030165875144302846,110,0.0003,-10.308085918426514,0.2,-230.3428642666667,2171.8470947265623,,
13,0.5,832,0,8688,0.0,0.008067757,0.0234375,510.7551574707031,39.9375,-0.041080678999423983,120,0.0003,-10.300148677825927,0.2,-219.4606534375,1038.0905883789062,,
14,0.5,896,0,9175,-1.1920928955078125e-07,0.008645452,0.0234375,529.3212890625,42.05882352941177,-0.038243461214005944,130,0.0003,-10.286701583862305,0.2,-232.62599123529412,1074.8246459960938,,
15,0.5,960,0,9605,5.960464477539063e-08,0.005753789,0.0125,916.5422973632812,44.05,-0.030622915737330912,140,0.0003,-10.277848720550537,0.2,-240.57972440000003,1851.1616577148438,,
,0.5,1024,,,1.1920928955078125e-07,0.012458517,0.040625,344.27783203125,,-0.0473692798987031,150,0.0003,-10.287588024139405,0.2,,703.3002136230468,-183.93985600000002,134.0
16,0.5,1024,0,12792,,,,,44.714285714285715,,,,,,-242.04656409523812,,,
17,0.5,1088,0,13262,0.0,0.0065491106,0.0109375,667.0061645507812,44.714285714285715,-0.02994768600910902,160,0.0003,-10.27362127304077,0.2,-242.04656409523812,1350.603857421875,,
18,0.5,1152,0,13687,1.1920928955078125e-07,0.005327685,0.00625,728.674072265625,44.30434782608695,-0.029652186669409275,170,0.0003,-10.266766262054443,0.2,-238.61185573913048,1474.4362182617188,,
19,0.5,1216,0,14115,0.0,0.009876929,0.03125,570.8595581054688,44.30434782608695,-0.041542465426027776,180,0.0003,-10.267069435119629,0.2,-238.61185573913048,1157.7235961914062,,
20,0.5,1280,0,14611,0.0,0.0073834946,0.025,712.466796875,46.5,-0.03166433498263359,190,0.0003,-10.268619060516357,0.2,-247.8496915769231,1441.9086059570313,,
21,0.5,1344,0,15083,0.0,0.004955995,0.0078125,856.6036376953125,46.5,-0.023072408512234688,200,0.0003,-10.283522701263427,0.2,-247.8496915769231,1729.9615112304687,,
22,0.5,1408,0,15470,0.0,0.0051172785,0.0078125,752.3191528320312,46.5,-0.029086767323315145,210,0.0003,-10.290037155151367,0.2,-247.8496915769231,1521.5853637695313,,
23,0.5,1472,0,15920,0.0,0.008940698,0.021875,539.9696044921875,47.892857142857146,-0.037346628680825236,220,0.0003,-10.297621154785157,0.2,-254.28481628571427,1095.7163208007812,,
,0.5,1536,,,0.0,0.007823569,0.0171875,565.3762817382812,,-0.03507373668253422,230,0.0003,-10.298096752166748,0.2,,1146.2746826171874,-302.97866300000004,400.0
24,0.5,1536,0,19135,,,,,46.93103448275862,,,,,,-249.5270776896552,,,
25,0.5,1600,0,19543,0.0,0.0075978385,0.0265625,516.2955932617188,49.193548387096776,-0.02932664342224598,240,0.0003,-10.286420440673828,0.2,-259.9377850645161,1048.0137329101562,,
26,0.5,1664,0,20007,1.1920928955078125e-07,0.0051798346,0.0046875,746.6924438476562,49.193548387096776,-0.03009347729384899,250,0.0003,-10.28032169342041,0.2,-259.9377850645161,1509.679052734375,,
27,0.5,1728,0,20394,-1.1920928955078125e-07,0.004718489,0.0015625,738.4351806640625,49.125,-0.028196763433516025,260,0.0003,-10.273220825195313,0.2,-259.436552125,1493.6058715820313,,
28,0.5,1792,0,20820,-1.1920928955078125e-07,0.007951127,0.01875,359.7951965332031,50.333333333333336,-0.03898058421909809,270,0.0003,-10.276296043395996,0.2,-264.89154275757573,733.9296081542968,,
29,0.5,1856,0,21257,0.0,0.008100969,0.0203125,580.8865966796875,50.333333333333336,-0.037374342978000644,280,0.0003,-10.270807552337647,0.2,-264.89154275757573,1177.6253173828125,,
30,0.5,1920,0,21682,0.0,0.006489272,0.0078125,851.3931274414062,52.0,-0.029454460926353933,290,0.0003,-10.26986379623413,0.2,-272.5511039714285,1720.0216430664063,,
31,0.5,1984,0,22082,0.0,0.009070935,0.0375,512.7886962890625,52.0,-0.03191499374806881,300,0.0003,-10.285608386993408,0.2,-272.5511039714285,1040.7399169921875,,
,0.5,2048,,,0.0,0.010139834,0.03125,462.85687255859375,,-0.04097283165901899,310,0.0003,-10.29005069732666,0.2,,941.0993896484375,-382.5546254,400.0
32,0.5,2048,0,25275,,,,,52.86486486486486,,,,,,-274.6357182972972,,,
33,0.5,2112,0,25645,0.0,0.01197361,0.0453125,336.6268310546875,52.89473684210526,-0.04669506037607789,320,0.0003,-10.283967971801758,0.2,-272.19539928947364,687.4011779785156,,
34,0.5,2176,0,26058,5.960464477539063e-08,0.014939003,0.0671875,299.80670166015625,51.94871794871795,-0.05212688446044922,330,0.0003,-10.275076770782471,0.2,-267.5720086666666,613.619189453125,,
35,0.5,2240,0,26517,0.0,0.009013851,0.0359375,512.107421875,51.94871794871795,-0.0319879150018096,340,0.0003,-10.286543560028075,0.2,-267.5720086666666,1039.6745483398438,,
36,0.5,2304,0,26945,5.960464477539063e-08,0.0043333974,0.003125,904.3197021484375,53.05,-0.02665999261662364,350,0.0003,-10.282144260406493,0.2,-270.65059279999997,1825.8314453125,,
37,0.5,2368,0,27371,5.960464477539063e-08,0.007663547,0.0203125,650.86328125,54.214285714285715,-0.03469570009037852,360,0.0003,-10.271163940429688,0.2,-276.9820093333333,1317.4924438476562,,
38,0.5,2432,0,27826,1.1920928955078125e-07,0.004909193,0.0015625,679.206298828125,54.214285714285715,-0.029382253624498846,370,0.0003,-10.263722324371338,0.2,-276.9820093333333,1373.9478149414062,,
39,0.5,2496,0,28274,-1.1920928955078125e-07,0.0050714007,0.0046875,970.0043334960938,54.83720930232558,-0.025345286168158055,380,0.0003,-10.258830738067626,0.2,-280.91715897674413,1957.4603515625,,
,0.5,2560,,,0.0,0.0065006893,0.0140625,831.699951171875,,-0.032124263048171994,390,0.0003,-10.251629638671876,0.2,,1680.071630859375,-183.0530534,400.0
40,0.5,2560,0,31480,,,,,54.83720930232558,,,,,,-280.91715897674413,,,
41,0.5,2624,0,31860,-2.384185791015625e-07,0.0048848456,0.00625,788.0926513671875,55.40909090909091,-0.026797479949891567,400,0.0003,-10.242005252838135,0.2,-283.30973372727266,1593.03935546875,,
42,0.5,2688,0,32335,-1.1920928955078125e-07,0.010001464,0.034375,566.7413330078125,56.58695652173913,-0.03676584139466286,410,0.0003,-10.244054126739503,0.2,-289.8482002826086,1149.0857788085937,,
43,0.5,2752,0,32739,-1.1920928955078125e-07,0.006001888,0.0078125,834.0075073242188,56.58695652173913,-0.029882955364882946,420,0.0003,-10.253403854370116,0.2,-289.8482002826086,1684.2899536132813,,
44,0.5,2816,0,33133,-1.1920928955078125e-07,0.010678176,0.028125,640.1600952148438,57.06382978723404,-0.038993284478783606,430,0.0003,-10.26132869720459,0.2,-293.54792012765955,1296.333154296875,,
45,0.5,2880,0,33523,0.0,0.006745995,0.021875,574.082275390625,56.1875,-0.03329250887036324,440,0.0003,-10.26620798110962,0.2,-288.42069147916663,1163.8370727539063,,
46,0.5,2944,0,33933,0.0,0.009983155,0.0265625,440.1138000488281,56.714285714285715,-0.039384339563548566,450,0.0003,-10.263336658477783,0.2,-291.0161867346938,894.86015625,,
47,0.5,3008,0,34334,0.0,0.004903609,0.0078125,529.91357421875,56.96153846153846,-0.02443372942507267,460,0.0003,-10.262869262695313,0.2,-290.86076330769225,1075.21875,,
,0.5,3072,,,5.960464477539063e-08,0.0191808,0.0984375,162.5570831298828,,-0.054526195488870145,470,0.0003,-10.26213722229004,0.2,,337.5585235595703,-152.18775019999998,400.0
48,0.5,3072,0,37580,,,,,56.96153846153846,,,,,,-290.86076330769225,,,
49,0.5,3136,0,37940,0.0,0.006385441,0.0125,651.5753173828125,57.0377358490566,-0.025621788389980794,480,0.0003,-10.251581764221191,0.2,-290.50393662264145,1319.1015625,,
50,0.5,3200,0,38342,5.960464477539063e-08,0.008175593,0.0125,536.0147705078125,57.0377358490566,-0.03797983657568693,490,0.0003,-10.238527393341064,0.2,-290.50393662264145,1086.839453125,,
51,0.5,3264,0,38688,-1.1920928955078125e-07,0.0064408993,0.0109375,661.7669067382812,57.05555555555556,-0.029799073189496993,500,0.0003,-10.225236892700195,0.2,-290.9779435555555,1339.5085815429688,,
52,0.5,3328,0,39068,0.0,0.0073126256,0.009375,337.5339050292969,57.56363636363636,-0.030936050415039062,510,0.0003,-10.219273090362549,0.2,-292.6200113636363,689.2230712890625,,
53,0.5,3392,0,39464,1.1920928955078125e-07,0.004882048,0.0078125,456.87841796875,57.56363636363636,-0.021688850596547127,520,0.0003,-10.228518676757812,0.2,-292.6200113636363,928.5195922851562,,
54,0.5,3456,0,39867,0.0,0.005696806,0.0109375,702.350341796875,57.526315789473685,-0.029994112998247148,530,0.0003,-10.227580451965332,0.2,-289.8820496842106,1420.9731689453124,,
55,0.5,3520,0,40266,0.0,0.007261212,0.009375,453.8705749511719,56.93333333333333,-0.03668896965682507,540,0.0003,-10.219633483886719,0.2,-286.02792425000007,922.0819702148438,,
,0.5,3584,,,0.0,0.009033485,0.0296875,415.0466613769531,,-0.03788103684782982,550,0.0003,-10.209865188598632,0.2,,843.8651245117187,-184.0954536,134.0
56,0.5,3584,0,43418,,,,,57.39344262295082,,,,,,-288.41480406557383,,,
57,0.5,3648,0,43812,0.0,0.00967169,0.0296875,468.1830749511719,57.39344262295082,-0.03293892964720726,560,0.0003,-10.219395446777344,0.2,-288.41480406557383,951.2906799316406,,
58,0.5,3712,0,44235,0.0,0.008976412,0.028125,748.3592529296875,57.39344262295082,-0.028138116374611853,570,0.0003,-10.251610851287841,0.2,-288.41480406557383,1513.4375,,
59,0.5,3776,0,44602,0.0,0.0036636228,0.0015625,786.8689575195312,57.74193548387097,-0.01920783668756485,580,0.0003,-10.274611854553223,0.2,-288.8488545645162,1590.05859375,,
60,0.5,3840,0,44995,0.0,0.011485878,0.0671875,432.9615173339844,58.1875,-0.03979852832853794,590,0.0003,-10.276855945587158,0.2,-290.51242106250004,880.4317993164062,,
61,0.5,3904,0,45408,0.0,0.008639585,0.0265625,373.3941955566406,58.86153846153846,-0.04002140872180462,600,0.0003,-10.274800300598145,0.2,-292.6033289538462,760.6007385253906,,
62,0.5,3968,0,45825,1.7881393432617188e-07,0.011541786,0.0421875,481.4848937988281,58.86153846153846,-0.044291557557880876,610,0.0003,-10.271378326416016,0.2,-292.6033289538462,977.7306762695313,,
63,0.5,4032,0,46238,1.1920928955078125e-07,0.010120759,0.03125,547.8778686523438,58.86153846153846,-0.04050256488844752,620,0.0003,-10.266210842132569,0.2,-292.6033289538462,1111.3133056640625,,
,0.5,4096,,,1.7881393432617188e-07,0.0049386974,0.009375,617.5272216796875,,-0.025473016314208508,630,0.0003,-10.257550907135009,0.2,,1250.8161010742188,-65.5333128,399.0
64,0.5,4096,0,49489,,,,,58.96969696969697,,,,,,-293.2371662121213,,,
65,0.5,4160,0,49899,0.0,0.008993767,0.0296875,601.0685424804688,59.072463768115945,-0.03605167884379625,640,0.0003,-10.262525844573975,0.2,-291.4580111594203,1218.1291748046874,,
66,0.5,4224,0,50364,-1.1920928955078125e-07,0.017608395,0.096875,247.03355407714844,59.42857142857143,-0.05151988603174686,650,0.0003,-10.269373893737793,0.2,-293.09463051428577,507.0912750244141,,
67,0.5,4288,0,50825,5.960464477539063e-08,0.012729534,0.0640625,641.298095703125,59.056338028169016,-0.03652660753577948,660,0.0003,-10.271353149414063,0.2,-291.12031601408455,1298.1526245117188,,
68,0.5,4352,0,51260,0.0,0.005877954,0.009375,655.6962890625,58.43055555555556,-0.028795947693288325,670,0.0003,-10.269927024841309,0.2,-288.20818538888886,1327.0997192382813,,
69,0.5,4416,0,51676,-2.384185791015625e-07,0.0067448057,0.015625,689.229736328125,58.567567567567565,-0.03319482635706663,680,0.0003,-10.272200584411621,0.2,-289.7466883783784,1394.0381591796875,,
70,0.5,4480,0,52105,0.0,0.014141137,0.065625,358.2071838378906,57.986666666666665,-0.05015700701624155,690,0.0003,-10.274212837219238,0.2,-286.8023248933334,730.52294921875,,
71,0.5,4544,0,52545,0.0,0.008160599,0.028125,665.1740112304688,57.89473684210526,-0.034060954302549365,700,0.0003,-10.261737728118897,0.2,-286.0858968026316,1345.90625,,
,0.5,4608,,,5.960464477539063e-08,0.0066908803,0.0171875,631.0313720703125,,-0.033133311197161674,710,0.0003,-10.252879238128662,0.2,,1277.50771484375,-184.0400702,200.0
72,0.5,4608,0,55724,,,,,58.25974025974026,,,,,,-287.4932291948052,,,
73,0.5,4672,0,56141,-1.1920928955078125e-07,0.007345749,0.021875,866.4751586914062,58.38461538461539,-0.03486405303701758,720,0.0003,-10.245021724700928,0.2,-288.44553257692314,1749.4297607421875,,
74,0.5,4736,0,56520,0.0,0.010898312,0.078125,539.0206298828125,58.38461538461539,-0.03336950354278088,730,0.0003,-10.232364273071289,0.2,-288.44553257692314,1092.9517578125,,
75,0.5,4800,0,56919,0.0,0.0049218806,0.0015625,685.0012817382812,58.2125,-0.022367911972105504,740,0.0003,-10.229137325286866,0.2,-287.83391140000003,1386.2855712890625,,
76,0.5,4864,0,57323,-1.1920928955078125e-07,0.012277812,0.0484375,338.10821533203125,57.9390243902439,-0.04480511862784624,750,0.0003,-10.264085006713866,0.2,-286.3801418048781,689.7089599609375,,
77,0.5,4928,0,57756,1.1920928955078125e-07,0.010520387,0.0328125,506.11163330078125,57.49411764705882,-0.039998847991228104,760,0.0003,-10.266220474243164,0.2,-282.75796045882356,1026.9126220703124,,
78,0.5,4992,0,58171,-1.1920928955078125e-07,0.020131372,0.1109375,265.7834167480469,57.49411764705882,-0.061036494374275205,770,0.0003,-10.26146640777588,0.2,-282.75796045882356,544.06396484375,,
79,0.475,5056,0,58661,1.1920928955078125e-07,0.00860951,0.028125,774.5276489257812,57.49411764705882,-0.023844985663890837,780,0.0003,-10.265326499938965,0.2,-282.75796045882356,1565.734375,,
