time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
0,0.5,64,1,212,,,,,,,,,,,,,,
0,0.5,128,2,456,0.0117301745,0.0007765293121337891,0.0003,857.7573852539062,-138.597011,10,0.04375,-10.35486297607422,0.2,26.0,-0.0575064018368721,1754.666943359375,,
0,0.5,192,3,702,0.0038854703,-0.010764598846435547,0.0003,590.953369140625,-176.223634,20,0.0,-10.348676586151123,0.2,34.5,-0.02877868004143238,1213.5528564453125,,
0,0.5,256,4,927,0.003955094,-0.027133584022521973,0.0003,904.6288452148438,-176.223634,30,0.0,-10.345255661010743,0.2,34.5,-0.029525987431406976,1847.0482543945313,,
0,0.5,320,5,1153,0.0045388695,0.006706357002258301,0.0003,825.0151977539062,-299.92300875,40,0.0,-10.343435096740723,0.2,54.5,-0.03134562913328409,1687.5880615234375,,
0,0.5,384,6,1383,0.004692903,-0.006936311721801758,0.0003,652.8192138671875,-299.92300875,50,0.0046875,-10.341674613952637,0.2,54.5,-0.029019617848098277,1337.2818359375,,
0,0.5,448,7,1588,0.0073521715,0.007274329662322998,0.0003,764.6871337890625,-334.5635918,60,0.01875,-10.336538410186767,0.2,59.4,-0.03665696829557419,1562.640625,,
,0.5,512,,,0.003975098,0.0036948323249816895,0.0003,597.333740234375,,70,0.0,-10.330221271514892,0.2,,-0.02503052745014429,1223.3257080078124,-362.26668140000004,400.0
0,0.5,512,8,3178,,,,,-304.1284622857143,,,,,54.57142857142857,,,,
0,0.5,576,9,3411,0.004873503,-0.0014483928680419922,0.0003,443.1183776855469,-278.2053019,80,0.003125,-10.325866985321046,0.2,51.8,-0.030620180442929266,908.1609008789062,,
0,0.5,640,10,3631,0.009547418,-0.007560253143310547,0.0003,436.4103698730469,-278.2053019,90,0.028125,-10.319293022155762,0.2,51.8,-0.041651158779859546,893.5394775390625,,
0,0.5,704,11,3865,0.0067110816,0.007254600524902344,0.0003,828.08056640625,-273.96130736363637,100,0.0078125,-10.305165100097657,0.2,51.18181818181818,-0.03460992751643062,1679.9635131835937,,
0,0.5,768,12,4067,0.0062304744,-0.005527615547180176,0.0003,523.5933837890625,-273.96130736363637,110,0.0078125,-10.294385528564453,0.2,51.18181818181818,-0.029396486654877662,1066.7172607421876,,
0,0.5,832,13,4291,0.0055181645,0.0035586953163146973,0.0003,582.66650390625,-287.5277155384615,120,0.009375,-10.298413372039795,0.2,54.69230769230769,-0.025701683200895786,1184.218701171875,,
0,0.5,896,14,4535,0.0052647414,-0.0031375885009765625,0.0003,528.5529174804688,-283.58845046666664,130,0.0109375,-10.299479103088379,0.2,53.666666666666664,-0.02991316616535187,1074.856396484375,,
0,0.5,960,15,4746,0.0027425792,0.0018314123153686523,0.0003,706.876953125,-270.653795125,140,0.0,-10.294790077209473,0.2,51.375,-0.022942361049354078,1432.1946166992188,,
,0.5,1024,,,0.007123246,-0.002101421356201172,0.0003,602.9746704101562,,150,0.0125,-10.290256309509278,0.2,,-0.03569374606013298,1223.7072998046874,-182.22525860000002,400.0
0,0.5,1024,16,6329,,,,,-254.60387099999997,,,,,48.26315789473684,,,,
0,0.5,1088,17,6566,0.007831048,-0.0029833316802978516,0.0003,568.40234375,-254.60387099999997,160,0.015625,-10.285941696166992,0.2,48.26315789473684,-0.03633589819073677,1153.6963134765624,,
0,0.5,1152,18,6787,0.005993435,-0.0007430315017700195,0.0003,920.7032470703125,-256.971184,170,0.00625,-10.27788553237915,0.2,49.23809523809524,-0.026357990130782126,1860.4390014648438,,
0,0.5,1216,19,7007,0.006357054,-0.0001919269561767578,0.0003,369.7325134277344,-265.04251972727275,180,0.00625,-10.277474880218506,0.2,50.54545454545455,-0.03610350042581558,754.9026123046875,,
0,0.5,1280,20,7221,0.008383207,1.633167266845703e-05,0.0003,767.9940185546875,-258.0302166521739,190,0.025,-10.274732398986817,0.2,49.34782608695652,-0.03430338148027658,1553.4721069335938,,
0,0.5,1344,21,7430,0.009966734,0.0004265904426574707,0.0003,400.94268798828125,-256.17434696153845,200,0.034375,-10.282140350341797,0.2,49.5,-0.0372839255258441,817.3420837402343,,
0,0.5,1408,22,7666,0.012410328,0.0006247162818908691,0.0003,323.6409912109375,-249.35931755555558,210,0.0484375,-10.2944260597229,0.2,48.55555555555556,-0.043426021561026575,661.8231689453125,,
0,0.5,1472,23,7892,0.006736581,6.0498714447021484e-05,0.0003,727.2112426757812,-242.84519392857146,220,0.0109375,-10.298121929168701,0.2,47.57142857142857,-0.02562796100974083,1470.9998413085937,,
,0.5,1536,,,0.005843861,-0.0001322031021118164,0.0003,710.6385498046875,,230,0.0109375,-10.301638507843018,0.2,,-0.03071457501500845,1438.5710693359374,-233.7048088,200.0
0,0.5,1536,24,9461,,,,,-250.17222668965522,,,,,48.62068965517241,,,,
0,0.5,1600,25,9710,0.0052047754,9.119510650634766e-06,0.0003,944.6492919921875,-250.17222668965522,240,0.00625,-10.30787410736084,0.2,48.62068965517241,-0.027062259428203107,1907.8429565429688,,
0,0.5,1664,26,9938,0.0047445074,-0.00010657310485839844,0.0003,968.6627197265625,-255.9574733666667,250,0.009375,-10.314144802093505,0.2,49.36666666666667,-0.025759927276521922,1955.6054931640624,,
0,0.5,1728,27,10155,0.005633861,-0.0003546476364135742,0.0003,693.8978271484375,-263.36098725,260,0.00625,-10.314745616912841,0.2,50.5625,-0.02993372902274132,1404.3994262695312,,
0,0.5,1792,28,10396,0.012426841,-0.0003427267074584961,0.0003,471.72979736328125,-266.1511631764706,270,0.05625,-10.312723541259766,0.2,50.85294117647059,-0.04831637516617775,958.9228332519531,,
0,0.5,1856,29,10592,0.012227657,5.0067901611328125e-05,0.0003,508.985595703125,-262.3466998857143,280,0.040625,-10.304990577697755,0.2,50.05714285714286,-0.045179325714707376,1033.2900390625,,
0,0.5,1920,30,10804,0.005814067,-0.0003358125686645508,0.0003,345.79547119140625,-254.95897143243246,290,0.0046875,-10.29344310760498,0.2,48.86486486486486,-0.03137527285143733,706.30625,,
0,0.5,1984,31,11027,0.008037775,-8.404254913330078e-05,0.0003,430.57415771484375,-248.63824923076922,300,0.0203125,-10.293105602264404,0.2,47.87179487179487,-0.03473840057849884,876.0288208007812,,
,0.5,2048,,,0.0107659185,-1.0728836059570312e-06,0.0003,486.3042297363281,,310,0.0359375,-10.2936372756958,0.2,,-0.04132154807448387,988.153369140625,-243.63779359999998,83.2
0,0.5,2048,32,12571,,,,,-251.35030955000002,,,,,48.625,,,,
0,0.5,2112,33,12753,0.0046468843,-5.626678466796875e-05,0.0003,611.7777709960938,-247.40293239534887,320,0.0109375,-10.285237789154053,0.2,48.348837209302324,-0.020350796170532703,1239.6206176757812,,
0,0.5,2176,34,12976,0.024090823,0.00026035308837890625,0.0003,159.72401428222656,-247.40293239534887,330,0.115625,-10.281856727600097,0.2,48.348837209302324,-0.06609184630215167,332.4189788818359,,
0,0.5,2240,35,13226,0.009702579,-0.00013113021850585938,0.0003,576.4105224609375,-239.7108539782609,340,0.053125,-10.28810739517212,0.2,47.06521739130435,-0.030347339902073146,1168.80244140625,,
0,0.5,2304,36,13440,0.005925445,6.270408630371094e-05,0.0003,523.0034790039062,-238.40273125531917,350,0.003125,-10.287908744812011,0.2,46.91489361702128,-0.02924528419971466,1061.13408203125,,
0,0.5,2368,37,13668,0.0066651497,-3.0994415283203125e-06,0.0003,631.99755859375,-238.40273125531917,360,0.009375,-10.281195831298827,0.2,46.91489361702128,-0.028839731961488722,1279.7866088867188,,
0,0.5,2432,38,13897,0.004413848,-0.0002815723419189453,0.0003,850.5722045898438,-239.59476083673468,370,0.0078125,-10.265454578399659,0.2,47.265306122448976,-0.028873487189412118,1718.365625,,
0,0.5,2496,39,14095,0.006048944,-0.0003077983856201172,0.0003,671.5768432617188,-239.59476083673468,380,0.0171875,-10.26085729598999,0.2,47.265306122448976,-0.03421416394412517,1359.2502197265626,,
,0.5,2560,,,0.010207307,-0.0004175901412963867,0.0003,525.3272094726562,,390,0.040625,-10.270504570007324,0.2,,-0.038730130344629285,1066.311328125,-170.8205382,160.4
0,0.5,2560,40,15636,,,,,-246.48016284313724,,,,,48.35294117647059,,,,
0,0.5,2624,41,15847,0.010353624,0.00010830163955688477,0.0003,493.25299072265625,-245.16670346153845,400,0.0359375,-10.289337635040283,0.2,48.19230769230769,-0.037317799776792525,1001.5194458007812,,
0,0.5,2688,42,16067,0.00737713,-0.0001615285873413086,0.0003,527.5272827148438,-242.55383420754717,410,0.015625,-10.298277282714844,0.2,47.60377358490566,-0.032555039040744305,1070.4000366210937,,
0,0.5,2752,43,16276,0.0029656468,0.0002033710479736328,0.0003,692.3988037109375,-244.00921125454545,420,0.0015625,-10.295304298400879,0.2,47.89090909090909,-0.018534341640770436,1400.962255859375,,
0,0.5,2816,44,16480,0.004372319,2.9325485229492188e-05,0.0003,664.7689819335938,-241.8509833859649,430,0.0078125,-10.294917964935303,0.2,47.59649122807018,-0.029368129651993514,1345.4056640625,,
0,0.5,2880,45,16701,0.007374687,-0.0003606081008911133,0.0003,354.7691955566406,-244.64292160344826,440,0.015625,-10.289222049713135,0.2,48.258620689655174,-0.03832932859659195,723.7552185058594,,
0,0.5,2944,46,16899,0.0034485376,0.00020176172256469727,0.0003,821.0869750976562,-244.64292160344826,450,0.0015625,-10.284308624267577,0.2,48.258620689655174,-0.019701203145086766,1658.7069580078125,,
0,0.5,3008,47,17113,0.0031973356,-1.3828277587890625e-05,0.0003,641.4227905273438,-244.64292160344826,460,0.003125,-10.287979888916016,0.2,48.258620689655174,-0.01942759267985821,1299.2903198242188,,
,0.5,3072,,,0.003971164,-1.5497207641601562e-05,0.0003,729.5336303710938,,470,0.003125,-10.300889587402343,0.2,,-0.024319490045309068,1475.7908935546875,-183.535629,200.0
0,0.5,3072,48,18670,,,,,-245.54894988135592,,,,,48.57627118644068,,,,
0,0.5,3136,49,18866,0.0036550444,-0.00010502338409423828,0.0003,602.1085815429688,-251.22685529508198,480,0.003125,-10.3091609954834,0.2,49.540983606557376,-0.02653608750551939,1219.7992919921876,,
0,0.5,3200,50,19077,0.0041067638,-0.00018143653869628906,0.0003,437.1781311035156,-254.082648516129,490,0.0,-10.306594181060792,0.2,50.145161290322584,-0.02749602273106575,889.11728515625,,
0,0.5,3264,51,19273,0.004099725,1.8715858459472656e-05,0.0003,841.766845703125,-254.082648516129,500,0.0,-10.29873342514038,0.2,50.145161290322584,-0.026823663525283335,1700.3009399414063,,
0,0.5,3328,52,19502,0.0032856883,-5.8531761169433594e-05,0.0003,586.9735717773438,-250.44797428125,510,0.0046875,-10.290439414978028,0.2,49.453125,-0.024297141283750535,1190.102685546875,,
0,0.5,3392,53,19715,0.004816558,7.450580596923828e-06,0.0003,672.8275756835938,-253.33117604615381,520,0.009375,-10.289542293548584,0.2,49.93846153846154,-0.029524238593876363,1361.0766235351562,,
0,0.5,3456,54,19947,0.0028446596,3.7670135498046875e-05,0.0003,663.2957153320312,-255.49099456060603,530,0.0,-10.281207942962647,0.2,50.42424242424242,-0.02086311150342226,1342.5105102539062,,
0,0.5,3520,55,20154,0.0024625137,-3.6954879760742188e-06,0.0003,765.1925048828125,-255.49099456060603,540,0.0,-10.274743270874023,0.2,50.42424242424242,-0.019759613275527953,1546.960009765625,,
,0.5,3584,,,0.0022956245,-0.00014281272888183594,0.0003,631.0078735351562,,550,0.0,-10.27497148513794,0.2,,-0.019402829743921757,1278.1102416992187,-183.4628552,100.0
0,0.5,3584,56,21705,,,,,-257.5288252686567,,,,,50.95522388059702,,,,
0,0.5,3648,57,21925,0.005660685,3.516674041748047e-06,0.0003,617.1395263671875,-255.31064084057968,560,0.0046875,-10.276594638824463,0.2,50.52173913043478,-0.0324845178052783,1250.306689453125,,
0,0.5,3712,58,22119,0.0032865573,-9.226799011230469e-05,0.0003,559.6747436523438,-259.390721,570,0.003125,-10.275843620300293,0.2,51.225352112676056,-0.019320472702383996,1134.3633911132813,,
0,0.5,3776,59,22345,0.0036377106,-1.9669532775878906e-05,0.0003,740.6693115234375,-259.390721,580,0.0015625,-10.277270793914795,0.2,51.225352112676056,-0.024616684392094614,1497.464697265625,,
0,0.5,3840,60,22575,0.0040354785,-5.364418029785156e-06,0.0003,991.2050170898438,-258.82398680555553,590,0.00625,-10.279593563079834,0.2,51.09722222222222,-0.02779210265725851,1999.93740234375,,
0,0.5,3904,61,22787,0.005480813,-4.935264587402344e-05,0.0003,680.269287109375,-260.303041630137,600,0.0078125,-10.279905033111572,0.2,51.28767123287671,-0.030394608341157436,1376.2407958984375,,
0,0.5,3968,62,22994,0.004458946,-3.2067298889160156e-05,0.0003,616.7718505859375,-264.57968708000004,610,0.0046875,-10.277904605865478,0.2,52.04,-0.029532327502965926,1249.28974609375,,
0,0.5,4032,63,23219,0.0080150645,6.854534149169922e-06,0.0003,429.1892395019531,-261.5058112727273,620,0.028125,-10.27301254272461,0.2,51.493506493506494,-0.03694533314555883,873.0390197753907,,
,0.5,4096,,,0.005960388,3.4570693969726562e-06,0.0003,613.9290771484375,,630,0.0140625,-10.268763160705566,0.2,,-0.026340281963348387,1242.934716796875,-183.6629602,360.0
0,0.5,4096,64,24801,,,,,-261.5944633974359,,,,,51.57692307692308,,,,
0,0.5,4160,65,24994,0.004161218,5.0067901611328125e-06,0.0003,740.5391235351562,-261.5944633974359,640,0.003125,-10.267193031311034,0.2,51.57692307692308,-0.026070335321128367,1496.8020874023437,,
0,0.5,4224,66,25214,0.00804887,-4.172325134277344e-06,0.0003,517.8550415039062,-261.5944633974359,650,0.034375,-10.26362361907959,0.2,51.57692307692308,-0.03535026367753744,1051.2732421875,,
0,0.5,4288,67,25432,0.0051429756,5.602836608886719e-06,0.0003,638.489990234375,-262.0358086375,660,0.0046875,-10.26013994216919,0.2,51.7375,-0.029521817062050103,1292.9792602539062,,
0,0.5,4352,68,25642,0.0055734487,1.0132789611816406e-06,0.0003,504.10638427734375,-264.6589891097561,670,0.009375,-10.25673999786377,0.2,52.31707317073171,-0.031167930364608763,1022.5333679199218,,
0,0.5,4416,69,25871,0.00636035,-3.337860107421875e-06,0.0003,366.1286926269531,-261.24401652380953,680,0.0140625,-10.258051109313964,0.2,51.80952380952381,-0.02620083075016737,746.1237121582031,,
0,0.5,4480,70,26090,0.014402959,1.3113021850585938e-06,0.0003,342.85394287109375,-259.2290520470588,690,0.075,-10.267766094207763,0.2,51.588235294117645,-0.05101268757134676,699.0827697753906,,
0,0.5,4544,71,26294,0.0048887543,-8.821487426757812e-06,0.0003,536.8207397460938,-259.2290520470588,700,0.0078125,-10.276999473571777,0.2,51.588235294117645,-0.02212545396760106,1088.7163940429687,,
,0.5,4608,,,0.0049903123,-0.00010013580322265625,0.0003,667.7171020507812,,710,0.0,-10.275482559204102,0.2,,-0.026221679337322713,1351.7668090820312,-183.27741799999998,280.0
0,0.5,4608,72,27857,,,,,-260.35342756976746,,,,,51.86046511627907,,,,
0,0.5,4672,73,28074,0.004044193,-2.5391578674316406e-05,0.0003,452.13934326171875,-260.35342756976746,720,0.009375,-10.272958755493164,0.2,51.86046511627907,-0.024922857992351055,918.9535339355468,,
0,0.5,4736,74,28287,0.0053747008,-1.430511474609375e-06,0.0003,739.3114013671875,-263.74129103370785,730,0.00625,-10.276430416107178,0.2,52.550561797752806,-0.026931408885866405,1495.2537963867187,,
0,0.5,4800,75,28505,0.010733966,-1.7881393432617188e-05,0.0003,288.0874938964844,-263.74129103370785,740,0.0390625,-10.286639499664307,0.2,52.550561797752806,-0.03901233039796352,589.5010864257813,,
0,0.5,4864,76,28715,0.0041896626,-0.0001100301742553711,0.0003,802.0978393554688,-263.74129103370785,750,0.00625,-10.286755657196045,0.2,52.550561797752806,-0.02556655267253518,1621.120654296875,,
0,0.5,4928,77,28955,0.0052818405,4.690885543823242e-05,0.0003,692.997802734375,-265.07518369999997,760,0.0046875,-10.290521240234375,0.2,52.855555555555554,-0.02571044210344553,1402.3345947265625,,
0,0.5,4992,78,29206,0.0032085553,-0.0001443624496459961,0.0003,837.9833984375,-267.1620668369565,770,0.0,-10.298185920715332,0.2,53.09782608695652,-0.020198068441823126,1692.4899780273438,,
0,0.475,5056,79,29416,0.0044313623,-2.4080276489257812e-05,0.0003,882.3033447265625,-269.2126196451613,780,0.0015625,-10.30533390045166,0.2,53.344086021505376,-0.024256336316466332,1781.4463134765624,,
