time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/is_line_search_success,train/explained_variance,train/n_updates,train/policy_objective,train/learning_rate,rollout/ep_rew_mean,train/kl_divergence_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,0,64,500,,,,,,,,,,,
2,0,128,971,32.0,1.0,-0.016164541244506836,1,0.07427617162466049,0.0003,-131.291802,0.00031124416273087263,1448.3978149414063,,
3,0,192,1479,32.0,1.0,0.00013631582260131836,2,0.075151726603508,0.0003,-131.291802,0.00035110459430143237,1746.3820556640626,,
4,0,256,1985,32.0,1.0,0.0,3,0.06861859560012817,0.0003,-131.291802,0.0003965584037359804,2050.6980224609374,,
5,0,320,2436,62.5,1.0,0.0,4,0.06864295899868011,0.0003,-366.76165025,0.000418736832216382,2451.103515625,,
6,0,384,2885,62.5,1.0,0.0,5,0.07364393770694733,0.0003,-366.76165025,0.00039149686926975846,1185.5936279296875,,
7,0,448,3368,55.285714285714285,1.0,-1.1920928955078125e-07,6,0.07398258149623871,0.0003,-321.50065442857147,0.00037668077857233584,1601.7582397460938,,
,,512,,,1.0,-1.1920928955078125e-07,7,0.07168854773044586,0.0003,,0.0003994848229922354,855.8146423339844,-187.0237034,395.2
8,0,512,6690,47.22222222222222,,,,,,-267.2777071111111,,,,
9,0,576,7144,44.54545454545455,1.0,0.0,8,0.07902621477842331,0.0003,-247.99098672727277,0.00039574509719386697,744.6696350097657,,
10,0,640,7585,42.583333333333336,1.0,1.1920928955078125e-07,9,0.08302938938140869,0.0003,-233.72886958333336,0.0003736341022886336,1014.5242858886719,,
11,0,704,8053,44.07142857142857,1.0,0.0,10,0.08459264039993286,0.0003,-236.95644364285718,0.00041573692578822374,1096.0192749023438,,
12,0,768,8542,44.07142857142857,1.0,0.0,11,0.08493775129318237,0.0003,-236.95644364285718,0.0004103904066141695,1056.6981689453125,,
13,0,832,8989,42.5,1.0,5.960464477539063e-08,12,0.07934343814849854,0.0003,-228.03718016666667,0.00045279046753421426,2472.9794921875,,
14,0,896,9473,42.5,1.0,-2.384185791015625e-07,13,0.09028398245573044,0.0003,-228.03718016666667,0.00047257234109565616,1205.864404296875,,
15,0,960,9898,41.63157894736842,1.0,-1.1920928955078125e-07,14,0.07259120047092438,0.0003,-224.73717905263157,0.0003928618389181793,1503.54892578125,,
,,1024,,,1.0,0.0,15,0.0757291316986084,0.0003,,0.00037841530865989625,1583.6629638671875,-187.6252014,155.4
16,0,1024,13132,43.55,,,,,,-235.4140624,,,,
17,0,1088,13605,45.095238095238095,1.0,0.0,16,0.0769042819738388,0.0003,-246.22261000000003,0.0004146536812186241,1590.0814086914063,,
18,0,1152,14080,46.5,1.0,5.960464477539063e-08,17,0.07861895114183426,0.0003,-255.22263213636367,0.0004712150548584759,2107.902685546875,,
19,0,1216,14592,46.541666666666664,1.0,-1.1920928955078125e-07,18,0.07975687086582184,0.0003,-255.13746754166664,0.00039536593249067664,1708.5034423828124,,
20,0,1280,15096,46.8,1.0,-2.384185791015625e-07,19,0.08780943602323532,0.0003,-255.92383315999996,0.0004391579714138061,1363.4650390625,,
21,0,1344,15585,45.84615384615385,1.0,-1.1920928955078125e-07,20,0.07791236788034439,0.0003,-249.4553727692307,0.0004327538190409541,2187.915380859375,,
22,0,1408,16037,46.55555555555556,1.0,0.0,21,0.0821680948138237,0.0003,-257.1860483333333,0.0004059856873936951,1550.5422485351562,,
23,0,1472,16468,47.142857142857146,1.0,0.0,22,0.08134406805038452,0.0003,-261.0953384285714,0.0004144098493270576,1572.9318237304688,,
,,1536,,,1.0,1.7881393432617188e-07,23,0.084872767329216,0.0003,,0.0004844818322453648,1344.2047973632812,-183.70658680000003,398.8
24,0,1536,19771,47.7,,,,,,-264.9018014666666,,,,
25,0,1600,20252,47.7,1.0,0.0,24,0.07811588048934937,0.0003,-264.9018014666666,0.00040823849849402905,1842.6277709960937,,
26,0,1664,20700,48.58064516129032,1.0,0.0,25,0.08051176369190216,0.0003,-268.7946062580645,0.00047473679296672344,2443.3126220703125,,
27,0,1728,21191,49.60606060606061,1.0,0.0,26,0.0799601823091507,0.0003,-277.0878369696969,0.0004828079545404762,1403.4793823242187,,
28,0,1792,21659,50.38235294117647,1.0,0.0,27,0.08302906155586243,0.0003,-282.62868461764697,0.0004599433741532266,1388.7986938476563,,
29,0,1856,22114,50.38235294117647,1.0,-1.1920928955078125e-07,28,0.07987359166145325,0.0003,-282.62868461764697,0.00046290713362395763,2057.0543701171873,,
30,0,1920,22594,50.27777777777778,1.0,1.1920928955078125e-07,29,0.08142919093370438,0.0003,-278.8239807777777,0.0004807429213542491,1756.5073120117188,,
31,0,1984,23050,50.54054054054054,1.0,0.0,30,0.07888181507587433,0.0003,-280.7039427837837,0.00046321595436893404,827.7189514160157,,
,,2048,,,1.0,0.0,31,0.08398383110761642,0.0003,,0.00045806047273799777,1353.8101928710937,-183.21625640000002,400.0
32,0,2048,26337,50.92307692307692,,,,,,-282.458469051282,,,,
33,0,2112,26805,50.92307692307692,1.0,0.0,32,0.0778491348028183,0.0003,-282.458469051282,0.00043420371366664767,1313.52890625,,
34,0,2176,27252,50.92307692307692,1.0,-1.1920928955078125e-07,33,0.07924766838550568,0.0003,-282.458469051282,0.0004359258455224335,1505.1684692382812,,
35,0,2240,27662,51.55,1.0,1.7881393432617188e-07,34,0.07774608582258224,0.0003,-286.54860195000003,0.0005160616710782051,1628.9861694335937,,
36,0,2304,28101,52.166666666666664,1.0,0.0,35,0.07873044162988663,0.0003,-289.65975626190476,0.0004911072319373488,1127.4858032226562,,
37,0,2368,28532,52.09090909090909,1.0,1.1920928955078125e-07,36,0.08289843797683716,0.0003,-288.09614706818184,0.0004798591253347695,1200.29677734375,,
38,0,2432,29007,52.15555555555556,1.0,0.0,37,0.0806785300374031,0.0003,-287.34335851111115,0.0004683761508204043,1203.4230224609375,,
39,0,2496,29502,52.15555555555556,1.0,0.0,38,0.07987746596336365,0.0003,-287.34335851111115,0.00048537936527282,1555.5928955078125,,
,,2560,,,1.0,0.0,39,0.07790610194206238,0.0003,,0.0004803321207873523,1439.141748046875,-182.9138096,201.0
40,0,2560,32674,51.851063829787236,,,,,,-285.2176366170213,,,,
41,0,2624,33168,52.333333333333336,1.0,0.0,40,0.07981064915657043,0.0003,-287.9074455416667,0.0004448597610462457,744.1654296875,,
42,0,2688,33637,52.333333333333336,1.0,0.0,41,0.07959496974945068,0.0003,-287.9074455416667,0.0005409771110862494,2029.2415771484375,,
43,0,2752,34093,52.42857142857143,1.0,0.0,42,0.06697386503219604,0.0003,-288.2806142244898,0.0005315784364938736,1786.20634765625,,
44,0,2816,34534,53.509803921568626,1.0,5.960464477539063e-08,43,0.08758886158466339,0.0003,-294.15882125490197,0.0004906410467810929,1319.9898315429687,,
45,0,2880,34994,53.86538461538461,1.0,-1.1920928955078125e-07,44,0.08216432482004166,0.0003,-297.01967938461536,0.0005359019269235432,1467.3247314453124,,
46,0,2944,35498,53.86538461538461,1.0,5.960464477539063e-08,45,0.08045458793640137,0.0003,-297.01967938461536,0.0005639978917315602,1546.0219970703124,,
47,0,3008,36021,53.41509433962264,1.0,5.960464477539063e-08,46,0.07848306000232697,0.0003,-294.5422116415094,0.0004779747105203569,2146.728466796875,,
,,3072,,,1.0,-1.1920928955078125e-07,47,0.08517001569271088,0.0003,,0.00045942614087834954,2121.0770751953123,-183.4147948,201.0
48,0,3072,39247,53.96363636363636,,,,,,-298.39494450909086,,,,
49,0,3136,39755,53.275862068965516,1.0,0.0,48,0.08270436525344849,0.0003,-294.77440020689653,0.0005207619396969676,899.4836975097656,,
50,0,3200,40210,53.275862068965516,1.0,0.0,49,0.08025109767913818,0.0003,-294.77440020689653,0.0005205863271839917,929.7569274902344,,
51,0,3264,40645,53.275862068965516,1.0,5.960464477539063e-08,50,0.0826570987701416,0.0003,-294.77440020689653,0.0005543496226891875,1771.5116455078125,,
52,0,3328,41066,53.275862068965516,1.0,1.1920928955078125e-07,51,0.07129935920238495,0.0003,-294.77440020689653,0.0005342514486983418,1498.377880859375,,
53,0,3392,41490,54.083333333333336,1.0,0.0,52,0.07413551956415176,0.0003,-299.1316324833333,0.0005510657792910933,1561.351953125,,
54,0,3456,41962,54.903225806451616,1.0,5.960464477539063e-08,53,0.07860517501831055,0.0003,-302.7323184032258,0.000529800949152559,956.80419921875,,
55,0,3520,42429,54.58730158730159,1.0,-1.1920928955078125e-07,54,0.08568655699491501,0.0003,-301.1945364603174,0.00048367719864472747,1222.5070922851562,,
,,3584,,,1.0,5.960464477539063e-08,55,0.08379145711660385,0.0003,,0.0004498836351558566,1311.54892578125,-183.30150440000003,205.0
56,0,3584,45614,54.58730158730159,,,,,,-301.1945364603174,,,,
57,0,3648,46079,54.40625,1.0,1.1920928955078125e-07,56,0.0741700530052185,0.0003,-299.48149221875,0.0005136348772794008,1823.2013305664063,,
58,0,3712,46574,54.90909090909091,1.0,1.1920928955078125e-07,57,0.09335725009441376,0.0003,-303.458522030303,0.00045717397006228566,1690.0437255859374,,
59,0,3776,47007,54.44776119402985,1.0,0.0,58,0.08209254592657089,0.0003,-301.0266961492537,0.00048325335956178606,1395.0945556640625,,
60,0,3840,47484,54.08571428571429,1.0,1.1920928955078125e-07,59,0.08372488617897034,0.0003,-298.2215758142857,0.0004628427268471569,926.5442138671875,,
61,0,3904,47904,54.08571428571429,1.0,0.0,60,0.08344286680221558,0.0003,-298.2215758142857,0.0004826087970286608,1309.71416015625,,
62,0,3968,48358,54.08571428571429,1.0,-1.1920928955078125e-07,61,0.0799182876944542,0.0003,-298.2215758142857,0.0006093553965911269,1817.6067993164063,,
63,0,4032,48850,54.40277777777778,1.0,0.0,62,0.07975870370864868,0.0003,-300.03868276388886,0.0004978665383532643,1476.5268920898438,,
,,4096,,,1.0,0.0,63,0.08428939431905746,0.0003,,0.0004731995868496597,1154.373291015625,-182.84752199999997,400.0
64,0,4096,52125,53.9041095890411,,,,,,-296.933224109589,,,,
65,0,4160,52596,54.30263157894737,1.0,0.0,64,0.08375242352485657,0.0003,-298.3939765,0.00048543186858296394,985.5170043945312,,
66,0,4224,53059,53.688311688311686,1.0,0.0,65,0.08563316613435745,0.0003,-294.77112233766235,0.00045533356023952365,760.9236694335938,,
67,0,4288,53537,53.688311688311686,1.0,-1.1920928955078125e-07,66,0.08630955964326859,0.0003,-294.77112233766235,0.00046239251969382167,1644.2636596679688,,
68,0,4352,53951,53.688311688311686,1.0,0.0,67,0.07712352275848389,0.0003,-294.77112233766235,0.000488602090626955,1908.2941284179688,,
69,0,4416,54400,54.12658227848101,1.0,-1.1920928955078125e-07,68,0.08010859042406082,0.0003,-296.59237584810126,0.0005110871279612184,1235.5807861328126,,
70,0,4480,54859,54.617283950617285,1.0,5.960464477539063e-08,69,0.07843472808599472,0.0003,-300.0140244320987,0.0004975614137947559,1137.2821899414062,,
71,0,4544,55262,54.617283950617285,1.0,5.960464477539063e-08,70,0.08786509931087494,0.0003,-300.0140244320987,0.0004991743480786681,1330.2697021484375,,
,,4608,,,1.0,0.0,71,0.08272616565227509,0.0003,,0.0004799137241207063,1170.1659912109376,-183.07438380000002,400.0
72,0,4608,58506,54.13253012048193,,,,,,-296.2967192168675,,,,
73,0,4672,58999,54.13253012048193,1.0,0.0,72,0.09213798493146896,0.0003,-296.2967192168675,0.0004901762586086988,848.0029968261719,,
74,0,4736,59425,53.747126436781606,1.0,-1.1920928955078125e-07,73,0.08506886661052704,0.0003,-293.444942954023,0.0005017683142796159,1775.690625,,
75,0,4800,59865,53.69318181818182,1.0,0.0,74,0.08281835913658142,0.0003,-293.00542309090906,0.0004529263824224472,644.887548828125,,
76,0,4864,60341,53.41573033707865,1.0,0.0,75,0.09193868935108185,0.0003,-291.3334481123595,0.0005003145197406411,1062.9482788085938,,
77,0,4928,60771,53.46666666666667,1.0,-1.1920928955078125e-07,76,0.09069505333900452,0.0003,-291.2875530444444,0.0004771211533807218,1512.2759765625,,
78,0,4992,61147,53.24175824175824,1.0,0.0,77,0.08328163623809814,0.0003,-289.7365060989011,0.0005086169112473726,1067.5254760742187,,
79,0,5056,61572,53.483870967741936,1.0,0.0,78,0.08509628474712372,0.0003,-290.4684918064516,0.0004331041418481618,1161.5903930664062,,
